input|output
 Pick up that platter, tough guy.|Old Mr. Cream Puff?
  We used to date. |Something's happening! Come on, come on...
 Work.|Algebraic!
 Ew!|Hey, look, the decorpsinator serum is working!
  Rah. Must eat sugar!| You're grounded, Mister.
 Oh, this is really bad. They're going to be attracted to the Candy Kingdom!|Why?
  Gimme some sugar, baby.|Chew on this! 
  Good one, Finn. Quickly, to the kingdom!| Get a life!
  Hurry, sweet citizens.|Alright, you heard the princess, everyone in! Alright, no pushing, come on!
 Dude, what's up?|The princess will explain everything. Tree Trunks, get those hot buns in here, girl.
  Oh, I hope it's not bad news.|Did we get everyone?
 All present and accounted for.|Thanks, Manfried.
 Citizens, we are assembled here in the candy foyer for a momentous announcement. Tonight we are all going to have... a slumber party!|What?!
 What?!|Wait! What about the zom--?! 
 Go ahead and start partying.| But, Princess, the Undead--
 Finn, the Candy People can't know about the zombies.|Wha?!
 If they knew, they would flip out.|"What do you mean ""flip out""?"
 Princess? It's me, Starchie the gravedigger. I brought you a larger corpse shovel. Oh, Princess? Well, I'll just wait for you here, then. By the mausoleum. With my back turned. And my defenses lowered.|Candy People explode when they get scared?!
 Not telling the Candy People about the zombies is so important that you need to promise, Royal Promise, not to let anyone find out about the zombies, ever.|Okay, sure.
 No, Finn. You have to Royal Promise.|Yes,  I Royal Promise.
 Now I must cloister myself in the lab and finish the equation to my decorpsinator serum. You keep the candy folk distracted and ignorant. Can you do that?|Yes, your highness.
 Good. Don't tell anyone about the zombies. Never ever. |No, wait. Can I at least tell  Jake?
 Tell me about what, dude?|You know, about the outbreak of zom-- 
  Alright, what's going on?|Uhh, nothing at all, buddy! 
 Hey, dude. I think you and Bubblegum are up to something.| Ahha ah, what? No, no way.
 Whoa, you guys are up to something. Is it some sort of prank? Can I get in on it?|" Who wants to play ""Truth or Dare""?"
 Hmm...|Ok, Chocoberry, you may ask someone to tell a deep truth or a saucy dare.
  Hey seriously, man. I'm your bro. Bros are supposed to tell bros everything all the time. What are you and Bubblegum up to? Is everything alright?|Yep! Fine! Everything is great! Heh, heh.  Except for that. Whoa.
 I can't eat chocolate or fudge 'cause I'm a dog and they'd probably kill me, but hmmmmm probably... neither. Finn! Truth or dare?|Dare! Haha!
 I dare you... to tell me the truth about what's going on in your mind. What were you and Bubblegum talking about when you were alone together?| Umm, ahh, the truth is, ahhh...
 You promised you wouldn't freakin' tell anyone! Oh, you're so cute, Finn.|Ahhh... the truth is... that I'd rather play Dodge Socks!
 I'm not playing dodge socks 'til you stop dodging my questions. Hey...  Old Mr. Cream Puff? Isn't he dead?|Hey, give me my sock back! Dodge Socks was a bad idea!
 Whoa.  Look dude, just tell me what's up, 'cause you are crazier than a cannonball tonight.| Oh, my goodness! Princess hasn't finished the equation and the zombies are here!
  Oh, my goodness! Princess hasn't finished the equation and the zombies are here!|I, uh, she just want this slumber party to be super fun, and if I did have something to tell you, then I would in a second, and it would make my life easier, unless there was something stopping me, like a promise, but there isn't, so I won't, so it's cool.
 What? You lost me.|Umm... Hey, you know what time it is?
 Adventure time?|No, time for Seven Minutes in Heaven! You're first.
 Really?|Lady Rainicorn! In the closet with Jake!
 Okay, okay, alright.  But in seven minutes, I'm gonna come out and make you spill your beans, Finn.|I can't hear you all the way in heaven!
 Umm, does anyone else hear that?|What? Hear what? I, I don't hear anything.
 I hear something I don't understand... and it makes me scared! |What? No, Chet. Everybody, wait. What noise? You mean this noise? 
 Oh. |Yeah! Dance it! Bust it up! Uh! Uh! Uh! Oh!
 What is this game you are playing at now, Finn?|Uhh, it's... Blockado. Haha, the game of barricades. Come on, let's block all the entrances and windows!
 Uhh, it's... Blockado. Haha, the game of barricades. Come on, let's block all the entrances and windows!|Alright, this is not a permanent solution. Think Finn, how can you keep everyone from finding out?
 Find out about what, Finn?|Manfried, the talking piñata! Your convenient appearance gives me a great idea. Everyone, grab a stick! New game! We're gonna smash some piñatas!
 What?|Except for you, Manfried.
 Oh, thank goodness.|Now everybody don these blindfolds.  Thanks, Taffy Girl.
 Now everybody don these blindfolds.  Thanks, Taffy Girl.|Alright, everybody, get together. I'm hanging the piñatas...  They're all around you. Smash the piñatas!
 Alright, everybody, get together. I'm hanging the piñatas...  They're all around you. Smash the piñatas!|Yeah! You guys are on fire!
 Oh, it is so tasty.|Yes! We did it! My improbable plan worked!
 Seven minutes up yet?  Whoa!  What the nuts happened here?!|Oh, we killed all the zombies that Princess Bubblegum and I raised from the dead.
 Really!?|Jake? What's going on?
 What? Huh? Oh, Finn! Did you break your Royal Promise?|Yeah, but, I mean, all the zombies are dead. The Candy People won't freak out. What's the big deal?
 Finn the Human. You have broken a Royal Promise for which the penalty is trial by fire.|That's stupid.
 ...Math questions!|Mathematical!
 Finn, you're terrible at math.|Awww.
 Now, solve this! |Uhh....
 Yes! Two plus two. Solve it or die.|Uhh. Four, right?
 Oh, correct.|What's happening, Princess?
 You've defeated the broken royal promise! The Gumball Guardians are resetting!|"Slamacow! That was tops! Who's not good at math? I was all ""Four!"""
 Four, four... Four, four, four... That's it! The answer was so simple, I was too smart to see it!|You're welcome!
 Golly!|Woohoo! Yeah!
 I hope you grasp the full consequences of breaking promises.|Heck yeah! If I break a Royal Promise, I get to fight zombies, throw slumber parties, awake Gumball Guardians and... and...
 Alright, alright.| And reverse death itself!
 Oh, you are adorable. But keep your promises, okay?|I will, Princess.
 I will, Princess.|Starchie, you're not a zombie.
 I can't help it. Flesh is delicious!|You're delicious!
  Bouncing!| Princess, this tea party sucks in a big way! But thanks for the invite!
  Oh, don't worry, Finn. The Mallow Tea Ceremony takes years to master.| Princess! I think I just now mastered it!  One more bounce.  Alright!  Unh! Tea partying's hard, huh, Jake?
  What?! No way! It's super easy!| Lumpy Space Princess, you big faker! You're floating, not bouncing!
  Oh, my gosh. Oh, right. Sorry.| Dude! Your leg!
  Nah, that's no bump. It's the early stage of the lumps.| Is it serious?
  It just means he's changing into a Lumpy Space guy, on account of my bite. It's just like, um, y'know... werewolf rules?  Ar, rawr rawr rawr rawr rawr rawr!| Oh, no!
  What? You think I'm gonna turn all lumpy like her? Get outta here.  Wha? Finn, I think I'm freakin' out!| Calm down, bud! I'll... I'll sock the lumpiness outta ya!
  He'll be lumpy, like, forever.| LSP, please! Can you tell us how to reach Lumpy Space?
  Don't go telling everyone about this portal or whatever. It's kind of a secret.| Where is it?
  Good day, Princess. Is your father okay with you entering Lumpy Space with two...  non-Lumpers?|  Just say yes! Yes, yes, yes!
  It's up there at Makeout Point.| That's so close! We can run there in no...  ...time. Aww, what?!! It's, like, a million-mile fall into space!
"  I SAID, ""LUMP OFF,"" MOM!!! "| Uh...
   WHAT?!?!| Vroom vroom??
  Shucks! I lumping hate them! I'm really, really sorry, Finn. But I can't help you because my parents are horrible idiots.| Don't you know anyone else with a car?
  My friend Melissa has a car. But she's dating my ex-boyfriend Brad.|  Call her NOW.
  Hey, Melissa. What's up?| What's she saying?
  Oh, Glob. I forgot.| What'd she say?
  Tonight is the weekly Promcoming Dance!  It's gonna be so flipping awesome!|  LSP, we don't have time for this. Ask for the ride, LSP.
  Oh, oh, oh, oh, oh, oh, oh, oh—  Wha?!|  Melissa,  you should totally drive us to Makeout Point to make out with hot boys!
  LSP, you're so baaaaad... be there in a sec!| Biyah. 
  Hmm. |  Sorry. But Jake's lumpiness is worsening!
  Hi!| Ugh... OKAY! Let's go, let's go, let's go!!
  Aw, Finn, this music ducks, right?  Ah. I love this song. We should totally TP Shandala's house!  Gracious! That was terrible! Finn, if you can't save me from the lumps... if I do turn... if I become lumpy like them, I want you to—|  It's not gonna come to that. But if it does, I'll bury you beneath the nicest, most shadiest tree!
  Whoa, whoa, whoa, whoa! I'm saying that if I go totally lumpy, then I want you to get used to lumpy Jake. What did you think I was sayin'?| Oh, um...  Heh heh.  CAN'T THIS CAR GO ANY FASTER?!
  We've been here for, like, five minutes.| Finally! Huh? This doesn't look like Makeout Point.
  This is Brad's house. You wanted a ride to Makeout Point? You think I want to make out with you?!| Uh...
   Well, maybe I do, but... wait.  I HAVE A BOYFRIEND, FINN!! | LSP, we gotta hurry! Jake's running out of time!
  This is it.| Let's go!
  Wait. Watch yourself, Finn. The guys who use the antidote up here are notorious for being...  smooth posers.| What does that mean?
  It just means what it means. Hurry. Get the antidote so we can get outta here.| Thanks, LSP.
  Um... bumps.| Uh, yeah, bumps.
  Aw, man!| Hey, guys. Lookin' smooth!
  Really? You think we're smooth?| Well, mostly you in the center, but yeah!
  Why are you sucking up to us?| My best friend needs an antidote for lumpiness.
  Chyah, lumpiness suuucks. Hey, Monty, time's up, sphere-hog!  My turn! | So the antidote is in that orb you were sitting on!
  This orb is the antidote, bruh.| Can my friend borrow it?
  Yeah, sure, as long as you give it right back. | Hammacow. Thanks, fellas.
  What's taking so long? Did those smooth-heads give you the orb already, or what?| Wait!!
  Sorry, kid.  We changed our minds.| Why did you have to say all those rude things to them?!
  What? I was helping you.|  Thanks a lot!  They were right about to hand over the antidote!
   You're welcome a lot.| You insulted them! And they got mad! And now Jake's gonna be lumpy forever! THIS IS ALL YOUR FAULT!
  No. Because no matter how messed up and lumpy I get, this guy never turns his back on me!  Oh, yah. Right behind ya. Just gotta turn my back on this guy. | JAKE! IT'S ALMOST SUNSET!!  Jake... I didn't save him... I...  I'LL KILL YOU, LUMPY SPAAAAAACE!!
  Jam on, man!| Huh? I thought you guys left!
  We were drawn back by your plaintive wail. We dig your directionless fury.| Um, thanks.
  Respect. Here.  Take it. Win your girl back!| Yeah, there's no girl. But there is still time to save Jake! Do you guys know where Promcoming is?
  Promcoming takes place way down on that land-lump.| Awesome. Do any of y'all have wheels?
  Nah. We were all ditched here just like you.| Well... you think I can make it to that land-lump if I jumped off this cliff?
  You kidding?! A smoothie like you will plummet right into the eternal void!| What if I was lumpy? Could I float over?
  I'd say there's a 50/50 chance of you making it!| That's good enough for me. Now bite me!!
