input|output
  Hey, Ice King! Stop it!| Heh? Stop meddling, boy! You and your magical dog can't harm me.
  Why are you always stealing ladies?| I'm going to make one marry me! 
  That's... stupid!| Your hat is stupid!
  You are crazy. You are so crazy.|  Now I've got you, boy! 
  Let's go!| Heh?
  Yay!| Nwah. How dare they trifle with me. They can't possibly think they can win!
  Hey, sloppy milkshake!| Wha?
  Why don't you pick on someone your own size?| Fool! Your powers are no match for my magical crown!
 Other|  My powers! Foul and noisome whelp! You've not seen the last of my wintery fangs! I'll cleave the warmth from your bones and stop still your beating heart with my claaaaws...
  I'm a flying dog! | What?!  Who dares enter the Ice Kingdom?!
  Aww, Ice King's here.|" You know why I'm here? Do you know what ""Ice King"" means?!"
  Oh ho oh! Holy cow!| It means I'm King of Ice! This is my domain! And you are violating Ice World law--trespassing!
  No, I mean--|  I don't care! This is my kingdom. You guys can't just scoot about on my land willy-nilly. I've got rules here.
   Why don't you just try being cool.|  What?! I am the king! I am the king of c-cool c-co ca... That's it! Rise, monsters of snow, and go beat up Finn and Jake! 
  |  Ooh, you guys are gonna get it.
  Yeah, right, sure.|  I need a magic back.  Trail mix.  Ick...ooh, yogurt chip.  Tuck, tuck.  Aww man.
 Other| I'm back home! Hello, ladies!
 Other| Now, now. I've brought you a baby and a puppy. 
  Ice King!| What?
  Why are you keeping these girls prisoners, jerk?| You don't understand! I collect princesses because I want to marry one.
  Well, why'd you capture six of them if you just want to marry one?| I'm collecting them all first to be sure I make the right choice. You're both too young to understand, but marriage is a serious thing and lasts forever. You can't just rush into it, you know?
  Ice King, don't do this. Just let the girls go. They don't want to be here.| Of course they do! I would have killed them already if they didn't want to be here. Right ladies?  Zzhp Zzhp.
  Yay!| 
  Darn it!|Nice try, boy! Princesses, did you see? Did you see Finn fail?
  Don't worry, Finn. I'll get us out of here with Key Hand! Hah-hah! | Oh, no you won't! 
  Jake!| Eat it.
  Ice King! You better either set us free or come in here and fight me 'cause otherwise I'm gonna flip out!!!| Oh, are you trying to hit me? Well, excuse me because I have to go potty in the bathroom. 
